drive,target_m,i0,i1,dist_m,dur_s,speed_kmh,cal_scale,err_frozen,err_AI + gyro,err_AI + road,err_perfect + road,err_AI cal + road
S-S2,500.0,17417,19156,532.9061187566585,173.9000000000001,11.031984057067106,0.8,199.86389770276355,847.4218843240932,223.280382348184,74.13302471301645,49.929245101352855
S-S2,500.0,18046,19606,531.5016684820785,156.0,12.265423118817194,0.8,176.07841185191356,1010.9991425182526,488.78159142538453,310.2842698828054,467.84312561689137
S-S2,500.0,19067,19966,508.15720627310475,89.90000000000009,20.348898137743888,0.8,249.27234024006066,605.2786038409992,111.06636965793024,187.3624715049603,154.30097169602223
S-S2,500.0,19606,20507,556.2901911144381,90.10000000000014,22.226911076714476,0.8,195.37092288871176,735.8223811742027,137.14857829189117,6.319480516560265,3.1156240439555933
S-S2,500.0,19966,20867,630.8466015033118,90.10000000000014,25.205857551741612,0.8,288.16580791735737,510.0195151863448,77.19355368329695,3.92503771174523,65.16521388588275
S-S2,500.0,20416,21147,522.2814573877913,73.10000000000014,25.72111144454234,0.8,286.3277073872059,754.832979385437,20.358848888404832,2.037409265831584,88.55665559042437
S-S2,500.0,20867,21867,584.4789136259351,100.0,21.041240890533665,0.8681838235787245,138.85364400187885,721.1297408487046,199.42785992098487,11.871690152753184,97.65127904401588
S-S2,500.0,21147,21957,552.8920001718707,81.0,24.572977785416477,0.8876263855945787,415.84867178339675,1081.5002538420924,199.42849853193846,13.860855447445976,116.44507224735695
S-S2,500.0,21776,22137,643.8061272952891,36.100000000000364,64.20227308207804,0.8461495371955291,643.7980598714307,85.77386023467547,84.42601747260403,0.7596163577940241,170.40104602742295
S-S2,500.0,21957,22316,509.1082223198646,35.899999999999636,51.052635107284985,0.8735744681476383,509.0781492896678,67.89167041555031,66.9171705148168,4.351700209535691,122.8767968118359
S-S2,500.0,22137,22857,607.4936175089078,72.0,30.374680875445392,0.956899200496687,539.381644939426,855.6974297674923,108.09104812563427,8.070323894712114,76.97388298537287
S-S2,500.0,22137,22857,607.4936175089078,72.0,30.374680875445392,0.956899200496687,539.381644939426,855.6974297674923,108.09104812563427,8.070323894712114,76.97388298537287
S-S2,500.0,22676,23126,595.6299740095637,45.0,47.65039792076511,0.8715806448932106,595.612675807152,118.97789251959708,25.68493070233568,5.394355879795351,54.95506454758853
S-S2,500.0,22857,23306,531.2973824317633,44.899999999999636,42.598453825264215,0.9747583811126096,529.6219340158395,115.89614428051478,96.3460221235235,2.484747199043901,80.46322112751875
S-S2,500.0,23126,23486,529.0021399866146,36.0,52.90021399866146,0.9199929582276853,528.3357390404138,115.76843252578762,30.398837707368102,1.8845567887798913,14.560855019291044
S-S2,500.0,23216,23576,521.4307648135527,36.0,52.14307648135528,0.9347640077846184,521.1466229401016,75.08207878461579,59.56180689699536,1.4440867240598803,21.733644782839733
S-S2,500.0,23396,23756,508.77686330319375,36.0,50.87768633031938,0.8866987879598356,508.7192700666023,55.35664484846925,53.78646057355717,1.9272401466712494,10.188289503883093
S-S2,500.0,23576,24027,577.6624728232,45.100000000000364,46.110529981452395,0.8609636854117791,572.0103219563546,107.12485521768275,44.07035397537263,1.0067190224441742,118.15730017078356
S-S2,500.0,23756,24296,513.1825654204222,54.0,34.212171028028145,0.9121622703304149,356.05214874491804,465.8678923838491,70.95273401852704,2.3487651422235625,19.726758029294928
S-S2,500.0,23936,24477,677.9612048477084,54.100000000000364,45.11386945382133,0.9318468879138462,587.4953009901402,925.102213158429,58.438879516950585,3.7440974817625845,100.68283988228778
S-S2,500.0,24296,24656,510.8585304083135,36.000000000000455,51.085853040830706,0.9202135250210245,508.61051739367446,71.29910762507242,60.950340002952665,3.7955308733235165,96.84240232416408
S-S2,500.0,24477,25676,548.56825916864,119.90000000000009,16.4707734195755,1.0106593098085908,419.6166682118825,477.0144982500035,158.2493033463503,1.7919723797044336,165.7711016705411
S-S2,500.0,24656,25856,512.6334183672207,120.0,15.379002551016619,0.9690105224599922,400.1294713794743,726.4276428244879,202.03826636227916,2.683769038602517,179.91260231441868
S-S2,500.0,25496,26126,632.3737809003505,63.0,36.13564462287717,0.9781895007155273,631.045012265897,131.53313262593605,86.38996497848207,2.918498968486188,70.7527018089098
S-S2,500.0,25856,26216,509.91782180277914,36.0,50.991782180277916,0.8,508.7812456948472,100.85207119259925,30.267624910232996,5.516203247868971,125.55677813137534
S-S2,500.0,26037,26396,531.5598089098457,35.90000000000009,53.304047690123674,0.8,531.320308623874,119.34633066698183,29.432237495487232,2.2277357058101823,129.6947100076813
S-S2,500.0,26216,26576,517.4865663033561,36.0,51.74865663033561,0.8469684569685688,516.4278313366476,83.07613413457773,54.4102466457914,4.881855712632379,125.13588804198871
S-S2,500.0,26396,27916,507.41656465675624,152.0,12.017760741870543,0.8797399720372018,505.3288337937695,149.86824278306622,37.63660353061251,3.290825650439737,28.33802287201231
S-S2,500.0,26576,28186,586.5086190746515,161.0,13.114478438936308,0.9557035826921708,583.3730449412947,181.8892808953163,135.60114515058612,5.308259700608721,103.53703007891217
S-S2,500.0,26667,28276,519.6220867673837,160.9000000000001,11.62610013898434,1.0601704648205443,518.2982736897902,238.2645270231651,204.07314723514338,2.3319085466304728,247.61596467571886
S-S2,500.0,28097,28726,577.7044587979581,62.90000000000009,33.064166163317104,0.8,571.9383549266904,41.66411809879923,34.90433106994548,2.4695948634944314,87.76346233127838
S-S2,500.0,28276,28906,532.7744620173908,63.0,30.444254972422332,0.8,515.9697657126055,269.70539684296193,32.93876850528105,2.248481651421971,80.02064607044397
S-S2,500.0,28636,29587,511.36599254855173,95.09999999999991,19.357703187957814,0.8,447.147367451996,388.16056117961955,34.35736746480939,11.750485771076514,114.05430102926945
S-S2,500.0,28816,29856,551.2766017516078,104.0,19.082651599094117,0.8266797645523378,484.75346159895844,385.6199262068198,94.48346033386998,8.943808210099109,19.743307369346766
S-S2,500.0,29587,30036,526.2480446511909,44.90000000000009,42.19360714352524,0.9095692898777257,498.95282313997916,678.4517380558075,21.784450251168,14.844567431166828,29.43940327012065
