held_out,draw,scenario,shape_median_m,shape_p95_m,drift_pct
948G_RVV-2026-08-30_16-31-01,18,1 contributor,1.691450938397178,5.694526013070409,1.113075865267737
948G_RVV-2026-08-30_16-31-01,18,3 contributors,1.2651242822118696,4.860933095753484,1.8759658384608564
948G_RVV-2026-08-30_16-31-01,18,faulty contributor alone,2.47896248541996,43.69949412865262,10.98712955764524
948G_RVV-2026-08-30_16-31-01,18,"3 incl. faulty, averaged",1.465723097336352,17.012142196129183,3.9601518014177017
948G_RVV-2026-08-30_16-31-01,18,"3 incl. faulty, median",1.5792779465237703,5.2688877029671595,1.8759658384608564
948G_RVV-2026-08-30_16-31-01,19,1 contributor,2.2566188684804476,6.716683712958028,8.20159436899789
948G_RVV-2026-08-30_16-31-01,19,3 contributors,2.8063810817481025,5.1554117132254556,9.228641453145723
948G_RVV-2026-08-30_16-31-01,19,faulty contributor alone,7.399597948948355,47.26197322507077,13.138420943077362
948G_RVV-2026-08-30_16-31-01,19,"3 incl. faulty, averaged",3.4525195731069656,17.480432959678534,10.347636502627592
948G_RVV-2026-08-30_16-31-01,19,"3 incl. faulty, median",2.80452302374651,5.1554117132254556,9.228641453145723
94CC_6RQ-2026-08-30_16-34-04,0,1 contributor,3.764844212142995,7.8079939435604615,1.5379222235178789
94CC_6RQ-2026-08-30_16-34-04,0,3 contributors,1.7781931778615028,6.733193050498859,1.6013607550456974
94CC_6RQ-2026-08-30_16-34-04,0,faulty contributor alone,6.315140107263352,39.15590124000876,13.828587958126809
94CC_6RQ-2026-08-30_16-34-04,0,"3 incl. faulty, averaged",3.1372474821884984,12.48687354771836,3.2791995058714503
94CC_6RQ-2026-08-30_16-34-04,0,"3 incl. faulty, median",1.9476833892852843,6.733193050498859,1.7122235133495007
94CC_6RQ-2026-08-30_16-34-04,0,"all others, median",1.5342873385916593,6.279089729395503,0.7009979543580203
94CC_6RQ-2026-08-30_16-34-04,1,1 contributor,3.733229592437325,8.555592720346722,0.9867586106571152
94CC_6RQ-2026-08-30_16-34-04,1,3 contributors,2.235440547043028,6.639632269400502,0.7383800289699336
94CC_6RQ-2026-08-30_16-34-04,1,faulty contributor alone,3.9117510166769365,39.46589003031499,9.328374123402659
94CC_6RQ-2026-08-30_16-34-04,1,"3 incl. faulty, averaged",4.708869565873778,15.467437403897833,3.081406310160441
94CC_6RQ-2026-08-30_16-34-04,1,"3 incl. faulty, median",2.906389156637703,6.790236057475886,0.7383800289699336
